prenom,nom,Sexe,domicile,birthdate
Lulita,Laverne,M,Suva,1959-11-11
Linet,Goddard,F,Belfast,1935-08-02
Marcelline,Bandeen,M,Moscow,2012-12-18
Regina,Genna,M,Lanzhou,1930-05-04
Julieta,Willie,M,Brisbane,1971-01-09
Amara,Palocz,M,Thessaloniki,1995-12-24
Judy,Leler,M,Ponta Delgada,1953-01-10
Aimil,Danby,F,Amman,1971-08-27
Gabi,Wind,F,Ankara,2002-12-11
Kaja,Yorick,F,Jacksonville,1986-12-28
Nickie,Lytton,F,Washington,1954-08-19
Christal,Deegan,F,Kinshasa,1945-12-08
Sue,Oster,F,Samara,1953-05-06
Peri,Donell,M,Curitiba,1941-03-12
Maridel,Knowling,M,Ibadan,2015-12-26
Lory,Johnsson,F,Jamestown,1976-03-29
Cristine,Bertold,M,Boston,1947-03-20
Jenilee,Reneta,M,Khartoum,1965-06-18
Raquela,Cimbura,F,Udon Thani,2016-01-07
Kimberley,Raseda,M,Sydney,1994-02-13
Brana,Urania,M,Sarajevo,1934-03-20
Mignon,Winthorpe,F,Iqaluit,1950-07-06
Chandra,Dorcy,F,Port Said,1977-11-02
Adriana,Syd,M,Gangtok,1967-04-14
Joelly,Sophronia,M,Srinagar,1934-10-01
Sheree,Madelene,F,Cebu City,2009-04-09
Gloria,Brady,F,Kaesong,1984-09-14
Marsiella,Bartlett,F,Cebu City,1970-01-28
Selma,Bethany,M,Chicago,1930-09-09
Annabela,Garbe,M,Zhengzhou,2016-07-12
Tami,Radu,M,Dushanbe,1954-09-12
Ellette,Ashok,F,Damascus,2015-03-27
Blinni,Leler,M,Bandung,2007-09-10
Ginnie,Devlen,M,Weno,1932-07-03
Marsiella,Bates,M,Srinagar,1956-06-27
Noelle,Dex,M,Houston,2015-06-13
Lanae,Teddman,M,Kota Bharu,2015-06-20
Karolina,Jena,F,Gold Coast,1978-03-15
Alejandra,Quent,F,Hiroshima,1972-01-06
Cherrita,Mandler,M,Anchorage,1959-11-03
Bernie,Granoff,F,Shigatse,1975-11-20
Reeba,Gillan,M,Thessaloniki,1984-04-24
Imojean,Iiette,M,Lubumbashi,2013-06-14
Joy,Tice,M,St. Louis,1945-03-16
Magdalena,Bearnard,F,Vilnius,1996-03-30
Zondra,Sammons,M,Multan,1953-04-18
Teddie,Old,M,Novosibirsk,1953-01-27
Nyssa,Berard,M,La Serena,1944-02-14
Basia,Sinegold,M,Hanoi,2008-05-12
Louella,Vivle,M,Dublin,1952-07-17
Tressa,Waldron,F,Pretoria,2007-06-23
Anica,Michella,F,Birmingham,1946-05-13
Myriam,Denis,F,Belém,1936-10-10
Karina,Gregrory,M,Gaza,1931-04-22
Jean,Jacinda,F,Kandy,1960-05-24
Olivette,Abernon,M,Kuching,1979-09-13
Gretal,Dex,F,Kingstown,2003-02-27
Florencia,Carlson,F,Mexicali,1988-12-05
Roseline,Colyer,F,Hanoi,1979-01-15
Ronna,Prouty,M,San Francisco,1985-11-29
Genevra,Ezar,F,Bergen,2006-10-30
Lita,Phaidra,M,Suez,1931-05-03
Wilma,Madaih,M,Macapá,1975-04-07
Gerrie,Wittie,M,Valencia,1944-02-19
Arlena,Killigrew,M,Saint Petersburg,1934-01-02
Rhea,Buckler,F,Horta (Azores),1949-01-31
Babita,Nea,M,Munich,1950-02-05
Aaren,Sparhawk,M,Split (city),1995-01-16
Roz,Hutchison,M,Dodoma,1962-06-22
Mathilda,Toffic,F,Medan,1984-08-23
Elsie,Infield,M,Chicago,1932-11-24
Emilia,Alarise,M,Shigatse,2007-06-30
Esmeralda,Aprile,M,Port Elizabeth,1961-09-03
Albertina,Rolf,M,Damascus,1997-08-04
Elsie,Chrystel,F,Mexicali,1977-12-20
Leeanne,Montgomery,F,Málaga,2019-04-19
Lita,Olnee,M,The Valley,1956-12-10
Isa,Seumas,M,Nashville,2019-05-01
Alia,Dudley,M,Shillong,1986-02-23
Jasmina,Levey,M,Budapest,1932-08-16
Bernardine,Adamsen,M,Mata-Utu,2018-04-03
Linet,Brunell,F,Puebla,1966-07-01
Mildrid,O'Rourke,F,Luxor,1976-09-26
Elyssa,Giule,F,Dallas,2013-05-13
Norine,Ardra,M,Nagpur,1969-03-17
Estell,Catie,M,Chittagong,2009-09-12
Charissa,Howlyn,M,Anchorage,1949-09-13
Grier,Chapland,M,Saint Petersburg,2013-07-05
Ardenia,Larochelle,M,Tehran,1975-01-12
Ketti,Nelsen,M,Detroit,1993-02-24
Dari,Whiffen,M,Yellowknife,2012-06-23
Melanie,Nickola,F,Mexicali,2014-01-03
Wilma,Halsey,M,Lomé,1958-10-28
Sherrie,Nea,M,Sapporo,2009-04-07
Celestyna,Ranjiv,F,Marseille,1945-02-16
Helena,Seumas,M,Lanzhou,1965-07-29
Nonnah,Monk,F,La Serena,1949-06-28
Clary,Arne,M,Rockhampton,1987-04-17
Daune,Durware,F,Kaohsiung,1948-10-28
Nikki,Whiffen,F,Freetown,2000-07-08
Siana,Joni,M,Novosibirsk,2003-02-02
Nessie,Zina,M,Kuala Lumpur,1939-08-04
Marcy,Constancy,F,Makassar,2007-01-29
Imojean,Modie,M,Philadelphia,1950-02-18
Eugine,Waite,M,Oranjestad,2000-05-18
Margarette,Valoniah,M,Porto-Novo,1997-04-25
Maisey,Sharl,F,Port Hedland,2000-03-30
Marcelline,Cristi,M,Providence,1993-08-14
Kimberley,Kevon,M,Guatemala City,1961-02-07
Althea,Secrest,M,Munich,1936-12-30
Elka,Ailyn,M,Road Town,1984-04-17
Concettina,Bivins,M,Da Nang,1975-04-13
Shaine,Charmine,F,Hong Kong,1933-10-10
Dulce,Brady,M,Lahore,1946-03-26
Maridel,Rugen,F,Freetown,1993-01-07
Hope,Ranjiv,F,Ouagadougou,2005-04-16
Carly,Torray,F,Pretoria,2009-03-12
Feliza,Lattie,M,Durban,1940-09-26
Gale,Bouchard,M,Dar es Salaam,2011-07-04
Meg,Grosz,F,Medellín,1938-01-12
Miquela,Corilla,F,Yellowknife,1939-12-19
Ronna,Burnside,M,Vaduz,1944-08-08
Cherilyn,Maples,M,Las Vegas,1993-02-20
Tori,Grosz,F,Hamilton,1970-08-04
Aili,Ventre,M,Douala,1951-04-12
Janeczka,Sherrie,M,Córdoba,1945-04-22
Cristabel,Oneida,F,Charlotte,1984-01-07
Catharine,Leary,F,Zagreb,1982-08-29
Lindie,Afton,F,Dushanbe,2006-09-27
Agathe,Faso,M,Jersey City,2002-03-02
Mahalia,Hedve,M,Muscat,1963-06-11
Teriann,Yorick,M,Tripoli,1941-10-19
Starla,Brittani,M,Espoo,1962-07-05
Adore,Ursulette,F,Papeete,2009-09-04
Brana,Loeb,F,Bratsk,2015-10-08
Halette,Egbert,F,Thimphu,1989-01-22
Millie,Sadowski,M,Yakutsk,1944-09-03
Di,Casimir,M,Bangalore,2004-02-29
Adele,Old,F,Düsseldorf,2017-11-12
Doralynne,Noelyn,F,Francistown,1981-10-29
Viki,Karna,F,Zanzibar City,1982-06-03
Berta,Ackerley,M,Ciudad del Este,2004-08-04
Chickie,Alejoa,F,Thessaloniki,2012-05-13
Max,Stevy,F,City of Halifax,2015-09-04
Sidoney,Lamoree,F,Montevideo,1952-11-12
Magdalena,Caitlin,M,Alexandria,1963-07-22
Philis,Rustice,F,Chiang Mai,2012-04-10
Mamie,Wenoa,F,Veracruz,1978-07-21
Darci,Cleo,F,Belgrade,2002-04-26
Amalie,Ellord,F,Mersin,1954-09-01
Raina,Lamoree,F,Funafuti,1952-05-27
Cordi,Faria,F,Marseille,1998-05-11
Philis,Montgomery,M,Taichung,1945-10-13
Gertrud,Sekofski,M,Charlotte,1986-10-14
Jinny,Shirberg,F,Sarajevo,1965-02-08
Libbie,Toffic,M,Cebu City,1992-11-23
Amara,Callista,F,Peshawar,1950-03-09
Annaliese,Sammons,M,Tagbilaran,1998-03-20
Lorne,Stav,F,Havana,1998-12-24
Marjie,Harned,M,Yakutsk,1956-02-07
Carilyn,Ledah,M,Mexico City,2008-08-29
Kial,Dorine,F,Baku,1949-08-23
Cecile,Nore,F,Durban,1965-05-17
Jillayne,Ophelia,M,Bandar Seri Begawan,1966-01-10
Damaris,Euridice,M,İzmir,2016-02-19
Carilyn,Daegal,F,Vaduz,2007-12-05
Aimil,Pip,F,Tashkent,2018-05-29
Beatriz,Paine,M,Tirana,1996-11-05
Nanete,Jena,M,Lucknow,1962-08-25
Katleen,Hylan,M,Columbus,2016-03-22
Lizzie,Gaal,F,Melbourne,1937-12-09
Karolina,Mayeda,F,Gaziantep,1935-08-17
Belinda,Erminia,F,Birkirkara,1964-01-09
Jackie,Stacy,M,Kraków,1967-08-18
Fidelia,Pacorro,M,Malacca Town,1951-12-05
Neila,Bivins,F,Tijuana,1990-08-28
Patricia,Toni,F,Podgorica,1952-08-02
Jemie,Romelda,F,Espoo,1938-08-05
Nananne,Chick,M,Lviv,1938-02-08
Damaris,Anton,M,Iloilo City,2013-09-11
Hyacinthe,Stelle,F,Bahía Blanca,1957-02-22
Shel,Bethany,F,Alor Star,2007-10-20
Tierney,Keelia,F,N'Djamena,2011-07-03
Blake,Wenoa,M,Chihuahua,1989-10-08
Leia,Ingra,F,Bishkek,1989-09-27
Sheelagh,Eugenia,M,Guwahati,1988-11-11
Edyth,Hull,M,Mata-Utu,1970-09-14
Ginnie,Yuille,F,Rabat,1939-09-01
Anica,Etom,F,Bloemfontein,2013-06-07
Liana,Durware,M,Surat,1938-03-16
Jobi,Kaja,F,Dammam,2011-03-05
Sabina,Sheng,M,Xining,2004-08-17
Flory,Douglass,M,Espoo,1967-12-26
Rayna,Wenda,M,Sri Jayawardenapura-Kotte,1953-07-26
Shirlee,Ludewig,M,Gothenburg,1949-03-08
Chloris,Lutero,M,Wuhan,1931-10-11
Iseabal,Prober,F,Kaesong,1984-02-03
June,Sprage,M,Quebec City,1975-03-10
Mellicent,Briney,F,Toulouse,2010-04-20
Maye,Gaspard,M,Nukulaelae,1944-03-06
Lynde,Geffner,M,Marrakech,1963-10-15
Odessa,Maiah,M,Suva,1997-05-09
Pamella,Arquit,M,Changchun,1930-10-14
Rosanne,Juan,F,Christchurch,1930-06-08
Drucie,Ashely,M,Stepanakert,1974-02-12
Modestia,Wittie,F,Jersey City,1955-09-12
Kaia,Jeanne,F,Cayenne,1932-08-30
Jany,Bluh,M,Montreal,1933-06-03
Kayla,Madaih,M,Porto,2016-07-06
Agnese,Susannah,F,Changchun,1957-04-14
Lonnie,Ellerey,F,Horta (Azores),1984-08-14
Starla,Bultman,F,Tijuana,1999-01-23
Jenilee,Adamsen,F,Udon Thani,1938-11-23
Berta,Berard,M,Fukuoka,1959-08-08
Caryl,Bashemeth,M,Greenwich,2005-03-28
Bertine,Pearse,M,Memphis,2018-11-06
Kary,Haerr,F,Ljubljana,1931-02-09
Dorothy,Buttaro,F,Quezon City,1971-01-20
Randa,Millda,M,Lilongwe,1987-02-26
Olwen,Madelene,M,Shillong,1942-03-06
Agathe,Haldas,M,Louisville,1962-04-22
Briney,Pyle,F,Porto Velho,1966-12-13
Gwenneth,Persse,F,Johor Bahru,1958-07-31
Talya,Lissi,M,Yakutsk,1958-08-31
Ida,Fosque,M,Sofia,1957-05-29
Deane,Jerald,M,Charlotte Amalie,1970-12-17
Valeda,Niles,F,Porto Alegre,1992-05-13
Gisela,Publia,F,Cebu City,1979-07-07
Flo,Hanshaw,M,Porto-Novo,1998-06-08
Randa,Amadas,M,Mérida,1958-02-01
Estell,Aprile,M,New Orleans,1942-02-18
Valeda,Lea,F,Surabaya,2009-01-21
Ermengarde,Secrest,F,Kanpur,2015-11-14
Addia,Mozelle,M,Bandung,2002-03-30
Lanae,Federica,F,Ciudad del Este,2000-10-03
Georgina,Cordi,M,São Tomé,2017-12-10
Elie,Paine,M,Dodoma,1937-03-16
Vonny,Nadia,F,Juneau,2008-02-05
Iseabal,Anastatius,F,Luxembourg (city),1993-02-08
Maud,Dominy,M,Mexicali,1998-09-30
Alyda,Uund,F,Lubumbashi,2013-12-17
Orelia,Diann,M,Punta Arenas,1988-04-22
Violet,Norrie,F,Yangon,1980-01-12
Vivia,Harned,F,Brikama,2009-04-21
Imojean,Colp,M,Santiago de Cuba,1938-07-11
Tersina,Albertine,F,Linz,1932-08-13
Viviene,Kathie,F,Guadalajara,2014-01-08
Madeleine,Olin,F,Townsville,1967-08-07
Katleen,Delila,M,Bursa,1968-05-24
Jennica,Phaidra,M,Petropavlovsk-Kamchatsky,1973-12-17
Mady,Marcellus,F,Glasgow,1988-05-09
Karina,Pauly,F,Mersin,2013-01-10
Edith,Israeli,F,Buenos Aires,1966-09-02
Betta,Madaih,M,Thiès,1945-08-09
Damaris,Sabella,M,Cairns,2012-06-20
Kaja,Leary,F,Ahmedabad,1952-05-03
Sybille,Maurine,M,Pune,2002-01-22
Jinny,Palocz,F,Enugu,2014-03-22
Lusa,Glovsky,M,Recife,1952-05-19
Lila,Mendez,F,Malacca Town,1999-09-06
Jenda,Buffum,F,Atlanta,1971-07-20
Leeanne,Ralfston,M,Chennai,2004-08-18
Peri,Kristi,M,Ciudad del Este,2014-05-30
Elmira,Atcliffe,M,Valparaíso,1943-09-30
Raquela,Pitt,M,Chihuahua,2016-09-08
Ivett,Pillsbury,M,Jaipur,2012-03-16
Elvira,Si,F,Bogor,1940-09-05
Annaliese,Gibbeon,F,Nukuʻalofa,1943-07-09
Aurore,Prober,M,Lisbon,1994-12-08
Iseabal,Blake,M,Invercargill,1948-06-26
Kaia,Morrill,F,Malang,1947-04-08
Reeba,Erminia,M,Seoul,2001-07-06
Florencia,Sprage,M,Sana'a,1934-11-03
Imojean,Isacco,F,Gold Coast,1978-08-14
Aurore,Carbo,F,Makassar,2014-09-06
Jacenta,Warthman,F,Nagpur,1933-08-10
Rhea,Terrence,M,Fukuoka,1984-04-21
Gerianna,Lory,M,La Serena,1944-05-07
Berta,Hortensia,M,Mendoza,1996-08-10
Giustina,Miru,F,Paris,1947-01-28
Ardenia,Hieronymus,F,Thiès,2011-03-28
Gusty,Newell,M,Boston,1968-09-09
Donetta,Durante,M,Hamilton,1946-01-18
Arlena,Zaslow,M,Mendoza,1937-07-11
Lily,Brittani,F,Lusaka,1971-02-09
Bibby,Yorick,F,Manchester,2004-06-05
Wanda,Alejoa,M,Port Said,1939-09-15
Carol-Jean,Pyle,M,Mandurah,2008-10-04
Lynea,Carey,M,Karachi,1945-02-03
Eve,Lissi,F,Yangon,2019-04-24
Deedee,Behre,F,Campo Grande,1964-02-02
Joceline,Korey,M,Moscow,1943-08-02
Edyth,Lea,M,Campinas,1949-11-24
Lanna,Carmena,F,Odessa,1945-08-16
Donnie,Talia,F,Toronto,1963-10-27
Nyssa,Heidt,F,Perth,2004-02-19
Ernesta,Emanuel,M,Manzini,1971-11-06
Britte,Janith,M,Puebla,1999-03-11
Phylis,Lalitta,F,Manzini,1959-11-24
Ginnie,Atcliffe,M,Gangtok,1948-01-26
Oona,Calhoun,M,Tel Aviv,1939-04-10
Taffy,Fredi,F,Nairobi,1966-10-20
Pearline,Schenck,F,Ndola,1930-12-25
Alleen,Rodmann,M,Port Moresby,1975-08-16
Micheline,Madaih,F,Monaco,1968-08-17
Grier,Eno,F,Antwerp,2004-01-06
Tina,Arvo,M,Fort-de-France,1936-02-07
Rhea,Waldron,F,Minneapolis,1991-10-11
Sibella,Stav,M,Veracruz,1987-11-28
Blinni,Vale,M,Kuala Lumpur,1955-10-28
Sandie,Karylin,F,Port Vila,1931-08-20
Mureil,Mozelle,M,Multan,1999-08-08
Binny,Tiffa,F,Xi'an,1949-10-31
Oona,Haymes,F,Libreville,1938-11-10
Wynne,Joeann,F,Invercargill,1986-01-05
Oralee,Casimir,M,Aberdeen,1954-02-23
Lenna,Zenas,F,Padang,1956-08-26
Regina,Iphlgenia,F,Managua,1982-06-25
Harrietta,Jacobah,M,Athens,1936-04-17
Fina,Pattin,F,Yakutsk,1963-11-03
Sadie,Shama,M,Cusco,2009-06-20
Gilligan,Merriott,M,Yerevan,1992-02-23
Kaia,Maroney,F,Singapore,2012-05-30
Eve,Morrill,M,Mexico City,1955-10-11
Janenna,Rossner,F,Budapest,1984-11-01
Angelique,Ackerley,F,Saint John,1999-06-14
Arlina,Phaidra,M,El Paso,1971-03-30
Fred,Ader,M,Banda Aceh,1956-08-02
Annora,Allare,M,Hanover,1985-08-03
Almeta,Arne,M,Chihuahua,1975-06-16
Juliane,Nunci,F,Buffalo,1967-10-17
Cyndie,Kravits,F,Calgary,1961-10-21
Lily,Elephus,M,Juneau,1968-09-22
Daune,Mata,F,Busan,1950-12-13
Marinna,Truc,M,Chihuahua,1969-02-17
Gabi,Rebecka,F,Chihuahua,1999-02-20
Kristina,Belanger,F,South Tarawa,1948-06-24
Andeee,Schlosser,F,Ottawa,1980-08-04
Danika,Dom,F,Chuí,1941-08-19
Brandise,Rustice,F,Kandy,2019-02-02
Magdalena,Douglass,M,Cannes,1977-07-16
Tomasina,Dosia,F,Yamoussoukro,1987-11-18
Cathie,Marden,F,Apia,1983-06-30
Ursulina,Nerita,F,Lhasa,1990-02-22
Madelle,Greyson,M,Rabi Island,1988-01-26
Dari,Hessler,F,Udon Thani,1987-06-23
Asia,McLaughlin,M,Portland,1992-09-07
Perry,Cohdwell,M,Gaziantep,2017-02-08
Janis,Shields,F,Montreal,1989-11-25
Jsandye,Allina,F,Rawalpindi,1969-11-26
Aurelie,Kolnick,F,Dili,1980-07-08
Minda,Kristi,F,Johor Bahru,1941-04-28
Sindee,Bates,F,Fort-de-France,1993-11-04
Sue,Darbie,M,Nashville,1954-02-09
Thalia,Wittie,M,Da Nang,1947-12-14
Trixi,Natica,M,Atlanta,1988-03-15
Doro,Wolfgram,F,Valletta,1986-04-24
Consuela,Chabot,F,Changchun,2010-01-26
Violet,Bryna,F,Kolkata,1975-12-12
Miquela,Miru,M,Douglas,2003-09-30
Courtnay,Hortensia,F,Pretoria,1947-10-14
Mallory,Pearse,M,Veracruz,1946-01-26
Barbara,Hachmin,F,Banjul,1937-12-22
Orelia,Whiffen,F,Cannes,1975-09-03
Kristan,Lauraine,M,Thessaloniki,2003-04-17
Dode,Mozelle,M,Douala,1969-11-08
Susan,Cookie,F,Ljubljana,1984-12-18
Robbi,Fennessy,F,Casablanca,1998-01-12
Neila,Tarrant,F,Antananarivo,1987-07-25
Donnie,Clara,F,Hangzhou,1982-04-03
Fawne,Grobe,M,Ushuaia,1975-10-01
Sybille,Sparhawk,M,Pattaya,1988-08-22
Carilyn,Nester,M,Port Vila,1957-12-18
Donetta,Bobbee,F,Johor Bahru,1953-12-16
Annecorinne,Macey,M,Shigatse,1954-08-30
Ilse,Gale,M,Zamboanga City,1996-10-27
Albertina,O'Rourke,M,Pontianak,1940-11-20
Corene,Lory,F,Funafuti,1986-02-08
Reeba,Mathilde,M,Shijiazhuang,1989-02-11
Rori,Philipp,F,Córdoba,1949-06-06
Dagmar,Jacobah,M,Columbus,1957-09-26
Ann-Marie,Schroth,M,Tokyo,1950-04-20
Lacie,Corrine,M,Chuí,1986-09-08
Dyann,Nelsen,M,La Paz,2014-11-29
Antonietta,Euridice,M,Washington,2011-12-26
Fina,Drisko,F,Boa Vista,1956-01-28
Karlee,Truc,F,Tbilisi,1936-11-18
Bernie,Ade,M,Vienna,1947-08-16
Nicoli,Erich,F,Palembang,2016-09-21
Ardeen,Morrill,M,Fortaleza,1940-03-18
Leontine,Alejoa,M,Lubumbashi,1932-01-11
Donetta,Dowski,M,Virginia Beach,2017-01-30
Laurene,Uund,M,Hai Phong,2015-11-27
Sonni,Amadas,F,Fort-de-France,1968-10-13
Gavrielle,Eachern,F,Houston,2013-05-01
Joceline,Pip,M,Medellín,1983-01-20
Pollyanna,Thunell,F,Nantes,2017-04-07
Brooks,Sadowski,F,Apia,2008-10-18
Kristina,Vittoria,F,Curitiba,1980-02-07
Goldie,Chick,F,Asmara,1936-06-12
Bobinette,Brunell,F,Freetown,1993-04-27
Ardeen,Mott,M,Linz,1955-11-13
Dorene,Willie,M,Tampa,2002-02-24
Kaja,Cassius,M,Osaka,1933-11-23
Heida,Ardra,F,Khartoum,1957-05-02
Natka,Pulsifer,M,Chittagong,1961-07-03
Jennica,Alwin,M,Ludhiana,1937-06-22
Ezmeralda,Stevy,M,La Paz,1978-08-28
Larine,Shaver,F,Arbil,1935-07-29
Gianina,Morrill,M,Düsseldorf,1986-03-16
Emmey,Cecile,M,Pago Pago,2013-04-13
Aimil,Japeth,F,Newcastle,1960-07-07
Althea,Durante,F,San Carlos de Bariloche,1949-05-03
Felice,Shields,M,Tskhinvali,2015-08-30
Dacia,Joli,F,Sitka,1968-06-25
Blinni,Pulsifer,M,Charlotte Amalie,1941-12-16
Lisette,Sekofski,F,Malacca Town,1977-04-30
Lucille,Kristi,M,Lima,1967-09-21
Selma,Skurnik,M,Lviv,2003-06-02
Dacia,Janith,F,Novosibirsk,1989-05-21
Beth,Himelman,F,Changchun,1975-03-11
Nikki,Celestine,M,Providence,2017-01-09
Reeba,Nester,M,Campinas,2003-09-30
Mignon,Adlare,M,Mérida,1956-08-09
Karolina,Tamar,M,Tirana,2007-03-21
Lory,Morrill,F,Ljubljana,1966-09-17
Shannah,Halla,F,Prague,1952-11-30
Lily,Greenwald,M,Alofi,1972-07-22
Cristabel,Viddah,F,Pretoria,1971-11-09
Merci,Hashim,M,Leipzig,1989-03-07
Beth,Monk,M,Pittsburgh,1994-12-11
Eadie,Ruvolo,M,Puebla,1976-11-02
Natka,Pernick,F,Hangzhou,2004-05-31
Marjie,Natica,F,Thiès,1968-01-25
Ekaterina,Bettine,M,Athens,1983-12-14
Paola,Remmer,M,Ljubljana,2006-04-17
Margette,Garek,F,Tijuana,1961-12-08
Jillayne,Tomasina,M,Calgary,2014-07-03
Helena,Jethro,F,Jacksonville,2004-03-13
Dorthy,Kellby,F,Toulouse,2002-05-12
Mureil,Federica,M,Bogotá,1996-12-16
Micheline,Hoban,M,Wichita,2013-11-12
Josephine,Janith,M,Cardiff,1958-01-13
Blondelle,Maurine,F,Valletta,1986-06-17
